business_status,icon,icon_background_color,icon_mask_base_uri,international_phone_number,name,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed,distance_to_downtown_km
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 859-491-7200,Hofbräuhaus - Newport,"[{'height': 2403, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102891590769041819100"">Hofbräuhaus - Newport</a>'], 'photo_reference': 'AcnlKN3ZsHBHUkJCHYehGvbXh_LSfmO8zZj_eeSAbdo9rUsOhhQb56xbp2ScLaSYxYD9NKoN2Y9aMY6Ek9dLTCJB-O59K-I_N4_JXCiyH9YY8-2-xAHJwnnPOU5wyawbCkAU2cxh310xGGQbyMC2s-YdTCTOkIZBH03uyOQ89agNPpDpQGJgP6mWZ3EwuavfjiI4J3IJqtvqTVt3sWqBJ0CAcy_qR8w_hEAzlR2oerSHasR35b5LTvzk8PGyB3b8CPDkszCiA-whZ3ilf65pWsuoz5CSQeznDHHHL52G1t1TmjcomaI4w8nN2icS0GXjZcO2tcK8dSc_gKc', 'width': 3600}]",ChIJI86THG-xQYgRejQQ5jfFn-8,2.0,4.5,ChIJI86THG-xQYgRejQQ5jfFn-8,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",3864,"200 3rd Street, Newport",39.0951072,-84.4938064,39.0965237302915,-84.49263936970848,39.0938257697085,-84.4953373302915,True,"3GW4+2F Newport, KY, USA",86FQ3GW4+2F,,1.7427176924588839
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,+1 859-291-0550,Newport on the Levee,"[{'height': 561, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102444216483169582766"">Newport on the Levee</a>'], 'photo_reference': 'AcnlKN1abKPtak2xCcw6PfFrF5p5MOIKi2RqVnjIMmnF3-VOLpWU1VrfdsAdMalRFonA1la1EDWw5wYs3ciJQ0yi4_eruG5b2-VxAEMFFRXGmA7xmKV4Dovpa-CcJOwMnDrQfqqN44KLI1G06vanXGhdrILqzozZx_oME9dUhjSZolJRauDnQ0LDUq8_97_J9lVa85o6cNJr80Jr4nynNxQFJdC4pBTY7iN9sJqy53vj7BxhEZT7_A6moucpFUwKg0MKX03WqxQrFP6MeEfukF4ZosyKBXmw0suvNath4G1GxEp_-1UsEwTVcFUhgqEbDfuNl11AO-qG', 'width': 1536}]",ChIJj5FhLG-xQYgRNhr-7ontbKo,,4.5,ChIJj5FhLG-xQYgRNhr-7ontbKo,GOOGLE,"['shopping_mall', 'movie_theater', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",16621,"One Levee Way, Newport",39.09518780000001,-84.49605489999999,39.09622993029151,-84.49521706970847,39.09353196970851,-84.49791503029148,True,"3GW3+3H Newport, KY, USA",86FQ3GW3+3H,,1.5487747026186318
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,+1 513-564-9111,Nicholson's Fine Food & Whiskey,"[{'height': 2701, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112985685430103494693"">Nicholson&#39;s Fine Food &amp; Whiskey</a>'], 'photo_reference': 'AcnlKN0bZvmd9vw-QbFskhZnKU_0kO7Wz9Mc7QnsEFDm7rq7rIhGAJb33pRColgiDMFeg7FGsqr-RBveqSLiTc0mzH5qEbK1QMwprfOGqIy69cnAoOWYctI3_VJVQG5c6-DrsRl-Z5P4NkyLAfRzpm5Ek-M79LrMVEXH1PEQDQA0q1H_Al3pF7DGH11bEzG73EWCeir0Lici1ehjM988Tmx-i4bix_EPx2WCOiHIJsnaO7g7Cqgeys_YLD4IEnTTZ2rG0DzAV5D6KZ--1GUvN-xQC1P5Kb51nM0B6lcZeVxt7w3RgI00BUPzZho60Agvn0tvYjsmDWEiD2E', 'width': 4050}]",ChIJt-5Dq1CxQYgRdum1akpW7h8,2.0,4.4,ChIJt-5Dq1CxQYgRdum1akpW7h8,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1782,"625 Walnut Street, Cincinnati",39.1033356,-84.5120189,39.1047026802915,-84.51059306970849,39.1020047197085,-84.51329103029151,True,"4F3Q+85 Cincinnati, OH, USA",86FQ4F3Q+85,,0.9425103978055273
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-721-7427,Montgomery Inn The Boathouse,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109415859086884599188"">Montgomery Inn The Boathouse</a>'], 'photo_reference': 'AcnlKN3b2Fe_HKlYFhAH5HLTYJJ5254bgQbGnuf9O4_t_i75TiCinnq_yXwDVpgtFoO42c3pE-KWT8evRG9o8xEyMm_gtL3eCnBvSG5szdtKzjeioyDFMzaipRz32_SVP23m1FwNhqaU-DxLdVxt2NFMFsGPfdMxR70BN5jsgf2UkYMNvhLX7u6zBkIdTP5zPm6bH7VdO1Q5_4O72rQ8nyoiSRG8SvyfhEsdipujDdEetvJ_Hbjf4CriSU34011P89jx2qkMUQ4kOvHlVdENWYCC-7AOj8z0-LJLgDLJ7r0GSIn46m91W-jg2NG5BLG6TThtzAvslsgFbgk', 'width': 2160}]",ChIJ1YpO6mOxQYgRavAlyMV6XLo,2.0,4.4,ChIJ1YpO6mOxQYgRavAlyMV6XLo,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4977,"925 Riverside Drive, Cincinnati",39.1039629,-84.4947014,39.1056070302915,-84.49322991970848,39.1029090697085,-84.49592788029149,True,"4G34+H4 Cincinnati, OH, USA",86FQ4G34+H4,,1.940775801165139
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-721-6232,Nada,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107821133652873121034"">Nada</a>'], 'photo_reference': 'AcnlKN0ohsz2KkPpiTMwfNa8iuRd-oMsIulV6DdwKyqBKoQaAsvkwEIwgN9XAjI4yXC1ovR2C8JgGrywm1y9TBlLBOCIpvNKIEpvH_MFKgvIckIi_D3sxfVNoclsGDT5xu43-rzS5AXlKhTzWxbdKKWUgwsG5Z27gKOoLLQQMccHES11qC4vv9zQHEtOl0hgJ3VuKMSySR0zErF7z9nd3VmhKC-PJ7294nYGzZUT_m7Ebg-FwFosUFCF21oleT69WLMpPqNkMjF1aNNkAcJU7yaKQc4k4cSQvYO8AeHvC3td-sUFCk__TDbztfp7-_Zw7xVpAHTBp9R9z0g', 'width': 3000}]",ChIJ9UWCBlqxQYgRoH9ooQSY_jI,2.0,4.4,ChIJ9UWCBlqxQYgRoH9ooQSY_jI,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",3367,"600 Walnut Street, Cincinnati",39.1028992,-84.5113634,39.10424073029149,-84.5102081197085,39.10154276970849,-84.5129060802915,True,"4F3Q+5F Cincinnati, OH, USA",86FQ4F3Q+5F,,0.9073404399560105
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 859-261-9000,Five Guys,"[{'height': 662, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110504882134751011395"">Five Guys</a>'], 'photo_reference': 'AcnlKN318ycNChkeTy6a0yMmqnOC-rhgy-KmHtUvHGRs_PLX_5kyF8vRr6SDoG1vvWvmK1px40M8uDssmsaGO73mGNsmmgwNGOA6QaaMRsCWC_Lgpos7AqWFKdOul1DpAozPcAa731T1U6TKa85iKiYoCfHe6dN3ctN8i7625M9fDeENv0L8KjnMlIaO3e3k3Ss8VuS5e7y-LYr7UaObJbtmH0F5ho_vkNy12QjmX15YEYf2IeouMrc-UU0LIX4kkO2LrZc2M1CGoNwHGz-q0WKb_0Ehu6gQOj9cN6r3_78aki2fVavUl83T089utHMJegKYg3K1IbpE0M4', 'width': 591}]",ChIJizn6KW-xQYgR8UPWsObJ7wM,2.0,4.2,ChIJizn6KW-xQYgR8UPWsObJ7wM,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",827,"1 Levee Way, Newport",39.0945128,-84.4965869,39.09581543029149,-84.49520681970849,39.0931174697085,-84.4979047802915,True,"3GV3+R9 Newport, KY, USA",86FQ3GV3+R9,,1.5037065301656602
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-354-4025,Red Roost Tavern,"[{'height': 558, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110835758757182652563"">Red Roost Tavern</a>'], 'photo_reference': 'AcnlKN3A6_hYog5HxtDaa4d9jqaxXhWjssWh6XKQ8JuMHV4rDWmk2Fg2Y-sQ9yAfTlOAIwnEP9EXLUnJvtJ-aeuSfzwp7Ehp9bQMHLxLRfVmakN5AshjStRk8zh9w5dr7VL3_jcnIt8-RqDIDd8R0befsh-wUp4DYo4qQDYAstJujNKSu2DzmuItNdT0WWXVprXBvcAkyYks_4Y0z4U8A6YtONZerR9047gZmoIOARVxf98PuIB1WD1Lhn5TUh83zQW6_5a6LUDWxBidhaYrY9DVu_304MxT9eY-bRGHuIj5MNQyL3y_wUNdCTBqQlG-35CwX6YTZpvVOvU', 'width': 800}]",ChIJXS_ul1GxQYgRk6a_ZGRHvyM,2.0,4.0,ChIJXS_ul1GxQYgRk6a_ZGRHvyM,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",325,"151 West 5th Street, Cincinnati",39.1004527,-84.5156264,39.1017885302915,-84.5145263697085,39.0990905697085,-84.51722433029153,True,"4F2M+5P Cincinnati, OH, USA",86FQ4F2M+5P,,0.6223449282835287
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-381-4071,Yard House,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116502013688396373770"">Geneva Maxwell</a>'], 'photo_reference': 'AcnlKN3SZdv01ehqKLiyXaZikxU7rHIi06lbA5RPhPaVnuure7WtnEza1bpZpiJKyjGKFQ_C8ACJgn5SgEiP1xWRK7R-hHgqIaA1ioM3izemk17K-ZNjCso1fvbvPnC1QMK9zmUdiNh9srRTo0QPDayTRQAR-Stq_9onGi2-Z5ZqYhmIGJB7qFVmJAEtlj8muFogc2e21p32VRWHr_VAkhcEf0mBh6VudSn37eQYfpdWeYogkshTRgjBWVvlBGmI6sRr7hxQjYwglezX36MChaBnYV9PSdVwR5YuVCI_bpFnMHNR-r5-cTolcmJ_3Ll8yr7r2cUCZrfHn1yHP0zrXAOfXC4AfJNvfRt4KJO3cwUn1tvDcbaRg_yxMJn09sqEuyhWeW3x8vo7SA9vS7EMMDYJmGixgI2Gy40uLhxkDggnxEHzD81Fci2NmeQHO1y8s2zmcrgRMu5R9ckirZqhxbZOygIoQ3n8iUmYOhAbWyVsDrHphuIXNKj_faNONkN-42FJz5bNNUScdMYfIsVTos6zu12o2NZTxPulI4gv7TSNAa5oz3qeHskH9Vs9sanwIHYXMLJe9fXmuFCszzNFmWMutFel3E7-E-VkkyiQbQbXM4VfSv4_6Boj8oMyOTYk3ExI_56fngvkZLPgI2MjMM9SCLnlUYE', 'width': 4032}]",ChIJfWU7P0WxQYgR0Z7qRaNJrUI,2.0,4.3,ChIJfWU7P0WxQYgR0Z7qRaNJrUI,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",5806,"95 East Freedom Way, Cincinnati",39.09686,-84.51047,39.09836448029149,-84.5092697697085,39.09566651970849,-84.5119677302915,True,"3FWQ+PR Cincinnati, OH, USA",86FQ3FWQ+PR,,0.36820498523353695
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-721-9339,McCormick & Schmick's Seafood & Steaks,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113585405964227327498"">McCormick &amp; Schmick&#39;s Seafood &amp; Steaks</a>'], 'photo_reference': 'AcnlKN2rDe-6X5n6V5mmSsQtsF_EIsCULEUla_WtOiP5hPBJZ4CyN7jKXBuGH-KCwvYhXZ86mDYzvbbtchcuSqVEzFHBrumQltAswsCCTY2QFNf7PJYMQYgNShaOnHRMPIMa7NmHOFcYt7ap5Ul3kVMORRuGWZsiDDaLpi5eSAjB-LI-IuYBS0-jrGY5cccmACppUzVFMjJ6nP4X0aRZChNiqlLtM6i1uHJ3s_QwM_KU4rjo58lKcLoUMFAsxoW9eBsZBhGQwmmd7TkUrfMApRULQ3x0QcutX4TZX8bN49eDhnZbYYAAj2U-BRcS5TYvOWjtXl8UzbMkX9w', 'width': 3000}]",ChIJNQ_siVCxQYgR0ktQVfaZbiA,3.0,4.0,ChIJNQ_siVCxQYgR0ktQVfaZbiA,GOOGLE,"['restaurant', 'bar', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",1963,"21 East 5th Street, Cincinnati",39.10090529999999,-84.5126452,39.10234538029149,-84.51135966970848,39.09964741970849,-84.5140576302915,True,"4F2P+9W Cincinnati, OH, USA",86FQ4F2P+9W,,0.6669661192773696
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-721-8483,Via Vite,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114059208478324615081"">Via Vite</a>'], 'photo_reference': 'AcnlKN0eKRaaJ0wwZu_s1ftbkBU6FdguJ0nHLYlS97zFcjx3I_7xhlnoBtzHACkCciNo7krThLp1I6C3D0EKJIElk2aKzKNrBuE3xiOrdwd7bfhRd-yjJxvAU_IdAvz1VQuz06MeNpcjbuTjGVnNlyBdyv_W3qTj_HA1jIOJG35Hmj-_mjnGvsus5RHAOHDTNP10PvU80f2C1ivzZbpXLdGOOra_YnQbuwnE75NoV6IZfUgMitB_xO91pivxaZPLbCe-Ta7XEL1VIjwLEMK5DizoAP5DNYzPXnZnIo9qq9kQsZQZB2wTRWnEVu0_Dc0QkePyznfMgyi5_w8', 'width': 2400}]",ChIJe_ZsklCxQYgR22PBtItVLjc,3.0,4.4,ChIJe_ZsklCxQYgR22PBtItVLjc,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1082,"520 Vine Street, Cincinnati",39.1017693,-84.5127768,39.1031488302915,-84.51161131970848,39.1004508697085,-84.5143092802915,False,"4F2P+PV Cincinnati, OH, USA",86FQ4F2P+PV,,0.76007697169772
