business_status,icon,icon_background_color,icon_mask_base_uri,international_phone_number,name,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,permanently_closed,distance_to_downtown_km
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-896-5383,Subway,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104147028453126049461"">Subway</a>'], 'photo_reference': 'AcnlKN2YsqPrzkQ2JcFNcP2326U2qZ8s5P3xTWiqegujd3_nYcRwO_pHp7G8KDKyOtLyQRKTqTHcy2YNB7u0OjhrEG-Ti--5vUzd9rdCuM_zrANegrSj7i47Zv58ZLRpyykBNYygVxGepLLCSc7T5uEmKuA3CswvLtvlNJylrPfDIcWsyyUBNhSSGisqGFFLbRslfNhpRrUzC16J2JJmZ5HQFtF9g2hmPIP8oKCTJJfmDGq0Khk6GfsW0p4ava_LI8HLkKKDDNYfPSoPDwDK0F5W8_6QarmPM4HvvpjBpftwAMev8185uk7kiHOCVTFiYRv4N-1KNcz8pHg', 'width': 1800}]",ChIJ-yYlaVlGQIgRHaW4Ovk-L-A,1.0,4.2,ChIJ-yYlaVlGQIgRHaW4Ovk-L-A,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",177.0,"1021 High Street, Hamilton",39.3959288,-84.5507351,39.39737873029151,-84.54931676970848,39.39468076970851,-84.55201473029149,True,"9CWX+9P Hamilton, OH, USA",86FQ9CWX+9P,,0.7880218711455382
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-737-0021,Taco Bell,"[{'height': 423, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102414456601022280117"">Quilly The kid</a>'], 'photo_reference': 'AcnlKN0-YJtlm_a2IsvD6Z__q6CDhY9eVCKR35B19pn78fJXsSdJm1bbqgyHE7zyRtssUIn12svNus3Z4gxnYtqKGbseORtRAEcLnv5lrHHCcQCH5d-AdzTkN7sCuEXziA3l3e1BZSJiwdU-jY0eM9OQXiTWzIKL4bCZ4RnhL1N3bUd0Ahmy9y4gIvEp78iWYI6BJVWteDCZvZ2eo-oBKDzoWYQj8Eixd7KdShb4-fNXbRySdXBzdCWinH4Z2zKZ5yxm73waO-3Q_4MG78aBCYtLAUIm-h-m0r2pGySxevmqNLX3d0VT7oWvsNVymcrndHM55PjkrXimeTvfXrHEYwhOgv7ZZjJ5cwtsk_w_HQVVUgO9zeaVXpPVdep1LIhdPcG9Tn37Dieewj8ngwrnjiR0mJvzr7XuvL8yH1r8k3U0wdxP5UAPONynOvCT4RhPIqbNQUmL4nDq0rzlfWeEwWrdNepH5PehZtx_bDpes9iFEIPkzcDLZaiSHDoiroeDsUv8Ar4XyMZOmyLwKtB-qUYesJZEZC6GJAMYNKh6emIc9Ft3kUAHxszjxjS3IQ_8JSRWo6kFKHRp_7BbTaAY2ZbcsBOha4n_MVwYM3Nap1tL8jwJqKzQaYtCs9V0c63MbbDImHabbR8y', 'width': 612}]",ChIJu2rp21lGQIgRcBX5Hu2aYio,1.0,3.5,ChIJu2rp21lGQIgRcBX5Hu2aYio,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1447.0,"819 High Street, Hamilton",39.3967209,-84.5528448,39.39809598029149,-84.55161031970849,39.3953980197085,-84.55430828029151,True,"9CWW+MV Hamilton, OH, USA",86FQ9CWW+MV,,0.5864766269889056
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-892-2777,Little Caesars Pizza,"[{'height': 408, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102088773399575981401"">jay and reboot gaming</a>'], 'photo_reference': 'AcnlKN0fEBAKcsNqhNY1QL2ahKQnrn4jjILemN9qH8tRM54EVB6aFigLnDa8jqWyX2xv_XuY99tD8LxbfvbbrZIFGQsFL4U_P6az6tzpxdsUiUoLjAPQ80EQNu1iWu_DmgJDTrbQ7nv503PwHgeS0bC1wdTjU3ZZakfWWpiqdFRIdgt-4jCClgv0YDnDtr52f8O0nEHIajkT-SxLKMJtgmUe-aGfwjsZwoS4qDF8JRFdNUNRZ8EbHAaL51LAcqyRim0R-oA1-GJ7uFF9xA4Y_Az7WKJDeeKGEHeLthRUKCem16zcpM0YGWCQ32QCiLEokVZ5R6PrsM1hl0AG-i_DGOSOS9loq6wh1eZHzCoJdrN8RfXxP7JvcZo1KSeSqhkDwMjuajLAxmRohiYTiY8NC09vC2y08vQXl6wrtJjDu4O7ksv5PloBsZ1y6aJkKxL9mJhYA4k-mqq-clK331GKofpOClQ1AkmWEnrtI0MJHqwUzPxcpFzKboZGfvJzUL5ww_DM6qFgC_DC6uQ6nBMMBGkuASX2MzyPal3AjuStw36jb3TC9acDPHwL4g1QkrvbYsmU2nCiiu__MGXxYRiHl5YsRYgVXrUkmhx17sMLTz3iXZzrvjZV1sKp_uoMg0UrvUU18L-tculd00X1S2PrImkKkw', 'width': 612}]",ChIJ45rzDl9GQIgRuFl6BmDwlLQ,1.0,3.1,ChIJ45rzDl9GQIgRuFl6BmDwlLQ,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",233.0,"1476 South Erie Boulevard, Hamilton",39.380435,-84.547814,39.3818037802915,-84.54653306970849,39.3791058197085,-84.5492310302915,True,"9FJ2+5V Hamilton, OH, USA",86FQ9FJ2+5V,,2.277180038940167
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-895-5800,Taqueria El Comal,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106714313095774610037"">American Marketing &amp; Publishing</a>'], 'photo_reference': 'AcnlKN1cYQgkoDyrE2eUitjHQPQu9ZiMFmyngbHJ1Hc3cU7-9tYst35RhmjpWOfTAUlQWpZZVuxuVJWqm5-xNykoqrdPmDGfljCbvCO-utxwworfLQyZQFSqjp_f6noe9oqYd9T9MZ3s4F6ab9CUPaDhujU4pmkw4BXyQ1njFRNKTQ5-oYUSYXeFujIyHvNkRgX9KQ5SZzKhgmN1E0ybc54ujqKUDYHj-Xqz6YvV9auaZqBHxJ2F5eBNxizBXAW5D7-TvVqXlnLpTbgXtUSInsrlcR_oZRTVLqiktuR0lO5Quk0CwOzf--lb5jfoIULLGIqokxwZH7UFPKC7GCL8WYJ6bYuperPrgwtriOsvOLavVJ5XAmlYtXkQcGrgtBVj7MrfwMVCr7OWX83KiqGUkWxLvQOaJ5EoMQjGnmUwhRBgaFtnbGs5Fh5ow-QCkO8eKg0-5M9y3D4CotIP5GZTghcZpkCoWGftaEeUHoTH8OON_IB8l3woxFkbal53QdE_MD7PsWzQGgzZYxjv_0IxkHEwU1AcC-0wMxmwE8tv4wot6wE2tzOfqyHKwg9AzYDof6xLPi_YZo-4Wnim8JWf7j4o78z8oa0fy_6PdF3qWCvUqL6mSPAIcxKl2aa2IlgfgMuZH6G5NQ', 'width': 4928}]",ChIJtS_93llGQIgR8mpgLDTaVvc,1.0,4.4,ChIJtS_93llGQIgR8mpgLDTaVvc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",878.0,"747 High Street, Hamilton",39.396972,-84.5533926,39.3983562802915,-84.55209101970848,39.3956583197085,-84.5547889802915,True,"9CWW+QJ Hamilton, OH, USA",86FQ9CWW+QJ,,0.531983590031148
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,+1 513-892-3890,The Drink Tavern,"[{'height': 5248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106681521420286249620"">The Drink Tavern</a>'], 'photo_reference': 'AcnlKN1WC-Ocq9GeC1j_OsdEOeHdwICoVtYkUW-kw4Rbt7mK1Q-HI6C90_XpbeLYRyzqS_9WI5zb9gwHVTvdVbiXxeZ7kYaT0dwCVLVR3xZn3NFUygfCTLLKP-aNyWHHNPG7BHGmbL2N6iA7WKztGlmyRXkhMsjthCLnBzbqXj3goCnDy2DuSh4ThYppGFhuwN0mq_qcxjOi28K_9cSMHfA-PyLCLVSRqsqZdCMO89vHIkOQJfHIUXiDfq0nlPGzBuIxiV7Bqe5XBLSD6d38AgWdU0AtT18a4GHEcVOyhT1H7dxzNVWrF0LSOoYF2Q6m20G-GGfOCfOa46s', 'width': 2952}]",ChIJtwLSQvlGQIgRy2kyZzkym8o,1.0,4.4,ChIJtwLSQvlGQIgRy2kyZzkym8o,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",229.0,"238 Hensel Place, Hamilton",39.405365,-84.55781329999999,39.40662393029149,-84.55644526970849,39.4039259697085,-84.5591432302915,True,"CC4R+4V Hamilton, OH, USA",86FQCC4R+4V,,0.7150626349228825
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-896-6200,Plaza One Grille,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115405918216114388385"">Plaza One Grille</a>'], 'photo_reference': 'AcnlKN3x4QyPmyALXC7qMeC6wmYYhd6uIVprEQl_p_hkVV8crt9nUO_yTSH8LMkiI9Lv1TkMWyv1I7YKb9grZv6mcpuzwDGEgu7UjAkc2Y9UG6QB6wtt7f191-5fncBbPqWMm6DPfZ2NVNVueWx2OjJuHv89ceATPKrJA0wJnM4VDhpL_cCjNBYW3EVbrMcNZFV6fLX_n6b0m59zCn70UGZhCYGv-w7xgdEcc4GozFJ2-c0YM-MHpH7BDEslcVsI4oFN3-24PRlyF8dJey5vfLZHYcHxXzue38ZErcc43uWlNrp66C_XKtV8XwcBC821VIuy3kyQtAxVfYI', 'width': 2048}]",ChIJ0e-K7v9GQIgRUHHLBr_FNb8,,4.0,ChIJ0e-K7v9GQIgRUHHLBr_FNb8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",57.0,"1 Riverfront Plaza, Hamilton",39.4018866,-84.56318960000002,39.4032155302915,-84.56167736970852,39.4005175697085,-84.56437533029153,True,"CC2P+QP Hamilton, OH, USA",86FQCC2P+QP,,0.4823011685938396
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,+1 513-863-0100,Donatos Pizza,"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107473588157895948676"">Donatos Pizza</a>'], 'photo_reference': 'AcnlKN2RjSbUqh3Qj98AKh4Wlo3lU0nrmGbUH9KuIMv4bpGlcXfznd3q3aibAh5fvlaXEMnfFxaxU8pdOjzvbfmmmYW--UmepeMBvOguinqWhSh1ghD0AZoF3XHvQWwJEQr-WY4FXDtrCYh6EI_XCRqeSXDg5lsrkunDszLi8TH7R_gwChIQRijUI4-ZVH7Bqzcf11TTAq_jkap5bxNc-sq8AElOYKFkOlQU91jCQ4Tobg4qjkpee0dKOouS8eI_SsP_krAF7u5hfFNX0vRCf7FP8XPH6y2KDkvz2VfX7TOSWcg5qLJoGRCPS6_8PnSC-ttYauKtWblIPdI', 'width': 1600}]",ChIJD9ENeFlGQIgRfcWc8RBiSOw,2.0,3.6,ChIJD9ENeFlGQIgRfcWc8RBiSOw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",458.0,"1013 High Street, Hamilton",39.3959786,-84.5510848,39.3974450802915,-84.5496612697085,39.39474711970851,-84.5523592302915,True,"9CWX+9H Hamilton, OH, USA",86FQ9CWX+9H,,0.7585839447097216
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,+1 513-737-1198,Thorntons,"[{'height': 2240, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118153313604333044079"">Beth Roesch</a>'], 'photo_reference': 'AcnlKN2xHmiJNeEQ2f8Ykrajq222_Gdh4pGJ2F7a4jAcIaq-nOy6My4dFIZ3rXO-WCK6oltsbsPOGzi4CqR9m9_jLsbSdtV8FT9OHM2rkyKqejtmJO56ummGz0WWFC_SJ_f4GcGWTXweEE9HAbuh83d5leWQYhJq16aqt1cFdyLirOlLZwXG-xzqAHvgvYlc5dX1cMy0yvfCnsyUykCJUP_TZlSzebLCu5meLXB10yXWPd5LJvSbbRiJInh9mMgKYZCqSZk2oIz10WFTBEv51UmQJZ9LLu1sx6ffODopsCZ5Bwvsa94PtEDLxR85q29w2EzjkVFKeFY5V6nSR-tjmlCb3ojptNzMhX9d1vQGt1Sy0-psc83KUilTBMhN-RKZelF_v51EhOSVkrtQ6Szb2fen2pcpvEopsWOHyAiw3D9UQ1q2AmY_M_aa6HqdHn2_t4zlz7-Q9t9PpO-4ac8cLnYXpL_qptao5OCx9bENZJfeRaKQogkGFn-gzCY42HZdNGnjhvDvI5d28Bxeydkp6l4NCraJvLKIj-970Py0F5AoMydgxBhHi_o-iCzeapQzLWWujF5T8tTjWkDH_dGfddtEa5etuI5hRaRf5umnN64JF8XrAfNR4hlGLbKYDdvrVPtaAFZSZ5sI', 'width': 2240}]",ChIJ9QDAJ0dGQIgR7J510hm33Uk,,4.1,ChIJ9QDAJ0dGQIgR7J510hm33Uk,GOOGLE,"['convenience_store', 'gas_station', 'atm', 'liquor_store', 'bakery', 'cafe', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",423.0,"1550 Grand Boulevard Thorntons, Hamilton",39.382376,-84.548602,39.3837154802915,-84.5471445697085,39.3810175197085,-84.54984253029151,True,"9FJ2+XH Hamilton, OH, USA",86FQ9FJ2+XH,,2.053147302330739
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,+1 513-868-5420,Kroger Deli,"[{'height': 1068, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105573897324153139905"">Kroger Deli</a>'], 'photo_reference': 'AcnlKN1Z2RPHJpNy-kW38dgbVUm67X-vr9QSFMb_fVDb-wgHPz2B2RX49eE1J44KdAkcaTt_OxHSRV2JOiZDk7loeZj1V_m5sFKKcSJuJ-SPj7M-M5624vd2VGTagCnZaShysrryu040Fa1O5IxmCI422J_yAmuFxUdLL7q3jwStkyBPB8A0VLeEWYYyBYvqVMcIy80DxsrBzVgxB5FyDV3IFzaEyz3wiYgFOGgn1m7wKh6kFSgIznyzCBkaF57cv2QudJ7qi5SugeHiNd8a6HANx0DCoP6q5xj1byCdc9KvSRzUQjzE08j0e3T-KUlgV1kqB_OBgaFKrsk', 'width': 1900}]",ChIJ45rzDl9GQIgRCctjYRPqg2I,2.0,3.7,ChIJ45rzDl9GQIgRCctjYRPqg2I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",38.0,"1450 South Erie Boulevard, Hamilton",39.3809726,-84.54745179999999,39.3823542302915,-84.54631451970849,39.3796562697085,-84.5490124802915,,"9FJ3+92 Hamilton, OH, USA",86FQ9FJ3+92,,2.2367657843921167
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,+1 513-892-0100,Legends Bar and Grill,"[{'height': 5184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105805317375941414838"">Legends Bar and Grill</a>'], 'photo_reference': 'AcnlKN2NN0OkRq3khJUzS5oeFmCXZzpuJqhByTl90LANJF5Gb8iX0MwgRIYYBBZi9s0ZsvzrDrrz3J2A3uXb7NlC04xKJdHjX7whzR68hu121SXfzoYfZpEwTlzx7GEeQgoh-MjkL3KDyFFCLcWs_UG3V0UrC2bwAMl-RflrkCRIE40zNj1pmPrEqEfCtL7qLQxCVGh6NGwIxuHBWkEuesCdOYTu_qVR0ntm2-rb0sU9cYKzOfQcw3uuJbXYlA0Y0ptG_XQSCcA7bLHHO9-Y1o2JeM2Pt_VFsPxD8iwd3NTvpc68Ose1Uy7QqIzFLBq_WqS-2p_psv1WMcE', 'width': 3456}]",ChIJLdcMh4ZGQIgRZoapaxY3cHI,1.0,4.5,ChIJLdcMh4ZGQIgRZoapaxY3cHI,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",419.0,"2104 Fairgrove Avenue, Hamilton",39.40426280000001,-84.5300561,39.4055833302915,-84.5288730697085,39.4028853697085,-84.53157103029152,True,"CF39+PX Hamilton, OH, USA",86FQCF39+PX,,2.5548427216761445
